prvdr_id,msr_cd,scr,sample,footnote
011300,IMM_1a,52,48,
011302,IMM_2,100,32,2
011302,IMM_1a,97,33,2
013301,IMM_2,Not Available,Not Available,5
013301,IMM_1a,Not Available,Not Available,5
020001,IMM_2,75,270,2
020001,IMM_1a,83,118,2
020006,IMM_2,72,236,2
020006,IMM_1a,87,118,2
020008,IMM_2,87,150,
020008,IMM_1a,79,56,
020012,IMM_2,86,244,2
020012,IMM_1a,87,82,2
020017,IMM_2,98,266,2
020017,IMM_1a,88,128,2
020018,IMM_2,68,138,2
020018,IMM_1a,98,40,2
020024,IMM_2,98,130,
020024,IMM_1a,98,57,
020026,IMM_2,56,284,
020026,IMM_1a,62,101,
020027,IMM_2,63,144,
020027,IMM_1a,67,73,
021301,IMM_2,Not Available,Not Available,5
021301,IMM_1a,Not Available,Not Available,5
021302,IMM_2,Not Available,Not Available,5
021302,IMM_1a,Not Available,Not Available,5
021303,IMM_2,Not Available,Not Available,5
021303,IMM_1a,Not Available,Not Available,5
021304,IMM_2,Not Available,Not Available,5
021304,IMM_1a,Not Available,Not Available,5
021305,IMM_2,Not Available,Not Available,5
021305,IMM_1a,Not Available,Not Available,5
021306,IMM_2,Not Available,Not Available,5
021306,IMM_1a,Not Available,Not Available,5
021307,IMM_2,Not Available,Not Available,5
021307,IMM_1a,Not Available,Not Available,5
021308,IMM_2,Not Available,Not Available,5
021308,IMM_1a,Not Available,Not Available,5
021309,IMM_2,Not Available,Not Available,5
021309,IMM_1a,Not Available,Not Available,5
021311,IMM_2,88,128,
021311,IMM_1a,85,59,
021313,IMM_2,75,12,1
021313,IMM_1a,Too few cases,Too few cases,1
030001,IMM_2,84,271,
030001,IMM_1a,99,140,
030002,IMM_2,91,276,2
030002,IMM_1a,85,128,2
030006,IMM_2,69,291,
030006,IMM_1a,82,147,
030007,IMM_2,91,218,
030007,IMM_1a,100,153,
030010,IMM_2,85,326,
030010,IMM_1a,87,240,
030011,IMM_2,87,310,
030011,IMM_1a,84,193,
030012,IMM_2,89,312,
030012,IMM_1a,88,260,
030013,IMM_2,82,282,
030013,IMM_1a,90,192,
030014,IMM_2,89,349,
030014,IMM_1a,86,236,
030016,IMM_2,74,342,
030016,IMM_1a,76,221,
030022,IMM_2,83,253,
030022,IMM_1a,85,88,
030023,IMM_2,85,323,
030023,IMM_1a,92,180,
030024,IMM_2,86,283,
030024,IMM_1a,89,140,
030030,IMM_2,91,452,
030030,IMM_1a,98,280,
030033,IMM_2,97,146,2
030033,IMM_1a,100,109,2
030036,IMM_2,97,305,
030036,IMM_1a,98,192,
030037,IMM_2,93,463,2
030037,IMM_1a,92,257,2
030038,IMM_2,68,314,
030038,IMM_1a,77,183,
030043,IMM_2,96,252,
030043,IMM_1a,97,144,
030055,IMM_2,96,314,
030055,IMM_1a,97,198,
030061,IMM_2,99,305,2
030061,IMM_1a,95,276,2
030062,IMM_2,49,177,2
030062,IMM_1a,60,99,2
030064,IMM_2,77,269,2
030064,IMM_1a,89,118,2
030065,IMM_2,91,258,2
030065,IMM_1a,88,99,2
030067,IMM_2,90,154,2
030067,IMM_1a,92,136,2
030068,IMM_2,87,172,
030068,IMM_1a,88,113,
030069,IMM_2,91,271,2
030069,IMM_1a,96,205,2
030071,IMM_2,69,71,2
030071,IMM_1a,88,32,2
030073,IMM_2,42,156,
030073,IMM_1a,53,55,
030074,IMM_2,Not Available,Not Available,5
030074,IMM_1a,Not Available,Not Available,5
030077,IMM_2,Not Available,Not Available,5
030077,IMM_1a,Not Available,Not Available,5
030078,IMM_2,80,152,2
030078,IMM_1a,89,82,2
030083,IMM_2,96,298,
030083,IMM_1a,97,149,
030084,IMM_2,67,91,2
030084,IMM_1a,91,75,2
030085,IMM_2,98,282,2
030085,IMM_1a,97,189,2
030087,IMM_2,69,280,
030087,IMM_1a,78,167,
030088,IMM_2,94,287,2
030088,IMM_1a,94,231,2
030089,IMM_2,91,246,2
030089,IMM_1a,88,120,2
030092,IMM_2,93,367,
030092,IMM_1a,96,234,
030093,IMM_2,95,279,2
030093,IMM_1a,97,209,2
030094,IMM_2,81,290,
030094,IMM_1a,94,150,
030100,IMM_2,91,156,
030100,IMM_1a,91,134,
030101,IMM_2,98,302,2
030101,IMM_1a,98,252,2
030103,IMM_2,98,358,
030103,IMM_1a,88,239,
030105,IMM_2,96,311,2
030105,IMM_1a,94,276,2
030107,IMM_2,100,284,
030107,IMM_1a,100,215,
030108,IMM_2,0,325,
030108,IMM_1a,1,173,
030110,IMM_2,89,298,
030110,IMM_1a,98,184,
030111,IMM_2,84,264,
030111,IMM_1a,76,169,
030112,IMM_2,96,159,
030112,IMM_1a,93,83,
030113,IMM_2,Not Available,Not Available,5
030113,IMM_1a,Not Available,Not Available,5
030114,IMM_2,93,304,2
030114,IMM_1a,94,239,2
030115,IMM_2,90,251,2
030115,IMM_1a,91,122,2
030117,IMM_2,83,162,2
030117,IMM_1a,96,115,2
030118,IMM_2,89,198,
030118,IMM_1a,91,98,
030119,IMM_2,92,304,
030119,IMM_1a,95,172,
030120,IMM_2,93,151,2
030120,IMM_1a,87,94,2
030121,IMM_2,96,524,2
030121,IMM_1a,97,353,2
030122,IMM_2,85,222,2
030122,IMM_1a,92,114,2
030123,IMM_2,78,224,
030123,IMM_1a,80,149,
030126,IMM_2,92,165,2
030126,IMM_1a,94,130,2
030130,IMM_2,75,116,2
030130,IMM_1a,84,45,2
030131,IMM_2,72,159,
030131,IMM_1a,70,106,
030132,IMM_2,Not Available,Not Available,5
030132,IMM_1a,Not Available,Not Available,5
031300,IMM_2,Not Available,Not Available,5
031300,IMM_1a,Not Available,Not Available,5
031301,IMM_2,Not Available,Not Available,5
031301,IMM_1a,Not Available,Not Available,5
031302,IMM_2,Not Available,Not Available,5
031302,IMM_1a,Not Available,Not Available,5
031303,IMM_2,Not Available,Not Available,5
031303,IMM_1a,Not Available,Not Available,5
031304,IMM_2,Not Available,Not Available,5
031304,IMM_1a,Not Available,Not Available,5
031305,IMM_2,Not Available,Not Available,5
031305,IMM_1a,Not Available,Not Available,5
031309,IMM_2,Not Available,Not Available,5
031309,IMM_1a,Not Available,Not Available,5
031311,IMM_2,Not Available,Not Available,5
031311,IMM_1a,Not Available,Not Available,5
031312,IMM_2,Not Available,Not Available,5
031312,IMM_1a,Not Available,Not Available,5
031313,IMM_2,70,179,
031313,IMM_1a,85,48,
031314,IMM_2,Not Available,Not Available,5
031314,IMM_1a,Not Available,Not Available,5
031315,IMM_2,Not Available,Not Available,5
031315,IMM_1a,Not Available,Not Available,5
033302,IMM_2,Not Available,Not Available,5
033302,IMM_1a,Not Available,Not Available,5
040001,IMM_2,71,175,2
040001,IMM_1a,89,94,2
040002,IMM_2,91,137,2
040002,IMM_1a,92,95,2
040004,IMM_2,91,279,
040004,IMM_1a,77,171,
040007,IMM_2,93,309,
040007,IMM_1a,86,177,
040010,IMM_2,95,266,2
040010,IMM_1a,98,165,2
040011,IMM_2,89,152,2
040011,IMM_1a,90,121,2
040014,IMM_2,98,288,2
040014,IMM_1a,97,204,2
040015,IMM_2,91,151,2
040015,IMM_1a,91,142,2
040016,IMM_2,73,294,2
040016,IMM_1a,60,132,2
040017,IMM_2,81,281,2
040017,IMM_1a,80,195,2
040018,IMM_2,99,166,2
040018,IMM_1a,97,124,2
040019,IMM_2,59,114,2
040019,IMM_1a,70,60,2
040020,IMM_2,87,293,2
040020,IMM_1a,88,183,2
040022,IMM_2,85,322,2
040022,IMM_1a,93,151,2
040026,IMM_2,88,276,2
040026,IMM_1a,91,183,2
040027,IMM_2,92,279,2
040027,IMM_1a,95,209,2
040029,IMM_2,53,328,2
040029,IMM_1a,71,121,2
040036,IMM_2,88,330,2
040036,IMM_1a,84,203,2
040039,IMM_2,98,259,2
040039,IMM_1a,98,156,2
040041,IMM_2,87,271,2
040041,IMM_1a,86,175,2
040042,IMM_2,63,168,2
040042,IMM_1a,77,111,2
040047,IMM_2,94,147,2
040047,IMM_1a,98,121,2
040050,IMM_2,96,144,2
040050,IMM_1a,97,93,2
040051,IMM_2,59,153,2
040051,IMM_1a,58,120,2
040055,IMM_2,100,289,2
040055,IMM_1a,100,187,2
040062,IMM_2,93,255,2
040062,IMM_1a,99,140,2
040067,IMM_2,73,166,2
040067,IMM_1a,82,114,2
040069,IMM_2,38,123,2
040069,IMM_1a,52,64,2
040071,IMM_2,98,426,2
040071,IMM_1a,97,300,2
040072,IMM_2,89,151,2
040072,IMM_1a,98,110,2
040074,IMM_2,57,348,2
040074,IMM_1a,55,255,2
040076,IMM_2,97,146,2
040076,IMM_1a,98,125,2
040078,IMM_2,94,267,2
040078,IMM_1a,91,183,2
040080,IMM_2,94,155,2
040080,IMM_1a,94,85,2
040084,IMM_2,94,255,2
040084,IMM_1a,94,163,2
040085,IMM_2,100,179,2
040085,IMM_1a,100,118,2
040088,IMM_2,99,274,2
040088,IMM_1a,99,162,2
040091,IMM_2,79,155,2
040091,IMM_1a,78,98,2
040114,IMM_2,75,336,2
040114,IMM_1a,69,200,2
040118,IMM_2,88,292,2
040118,IMM_1a,90,205,2
040119,IMM_2,98,287,2
040119,IMM_1a,95,199,2
040132,IMM_2,32,293,
040132,IMM_1a,32,53,
040134,IMM_2,67,315,
040134,IMM_1a,58,266,
040137,IMM_2,97,152,
040137,IMM_1a,91,116,
040147,IMM_2,38,182,
040147,IMM_1a,35,116,
040152,IMM_2,39,154,2
040152,IMM_1a,32,90,2
041300,IMM_2,Not Available,Not Available,5
041300,IMM_1a,Not Available,Not Available,5
041302,IMM_2,Not Available,Not Available,5
041302,IMM_1a,Not Available,Not Available,5
041303,IMM_2,Not Available,Not Available,5
041303,IMM_1a,Not Available,Not Available,5
041304,IMM_2,Not Available,Not Available,5
041304,IMM_1a,Not Available,Not Available,5
041305,IMM_2,Not Available,Not Available,5
041305,IMM_1a,Not Available,Not Available,5
041306,IMM_2,Not Available,Not Available,5
041306,IMM_1a,Not Available,Not Available,5
041307,IMM_2,Not Available,Not Available,5
041307,IMM_1a,Not Available,Not Available,5
041308,IMM_2,Not Available,Not Available,5
041308,IMM_1a,Not Available,Not Available,5
041309,IMM_2,Not Available,Not Available,5
041309,IMM_1a,Not Available,Not Available,5
041310,IMM_2,93,202,
041310,IMM_1a,95,168,
041311,IMM_2,Not Available,Not Available,5
041311,IMM_1a,Not Available,Not Available,5
041312,IMM_2,91,171,2
041312,IMM_1a,91,148,2
041313,IMM_2,77,142,2
041313,IMM_1a,74,118,2
041314,IMM_2,Not Available,Not Available,5
041314,IMM_1a,Not Available,Not Available,5
041316,IMM_2,Not Available,Not Available,5
041316,IMM_1a,Not Available,Not Available,5
041317,IMM_2,Not Available,Not Available,5
041317,IMM_1a,Not Available,Not Available,5
041318,IMM_2,64,42,2
041318,IMM_1a,50,30,2
